Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.000000,0.223380,0.222222,0.223380,0.065487,0
1962-01-03,0.000000,0.221065,0.219907,0.219907,0.064469,345600
1962-01-04,0.000000,0.221065,0.217593,0.217593,0.063790,216000
1962-01-05,0.000000,0.215856,0.214120,0.214120,0.062772,129600
1962-01-08,0.000000,0.212384,0.210648,0.210648,0.061754,172800
1962-01-09,0.000000,0.212963,0.212963,0.212963,0.062433,43200
1962-01-10,0.000000,0.217593,0.214699,0.217593,0.063790,172800
1962-01-11,0.000000,0.217593,0.216435,0.216435,0.063451,172800
1962-01-12,0.000000,0.217593,0.214120,0.214120,0.062772,259200
1962-01-15,0.000000,0.215856,0.214120,0.214120,0.062772,129600
1962-01-16,0.000000,0.215856,0.212963,0.212963,0.062433,345600
1962-01-17,0.000000,0.215278,0.212963,0.214120,0.062772,259200
1962-01-18,0.000000,0.212963,0.212384,0.212384,0.062263,172800
1962-01-19,0.000000,0.214699,0.213542,0.214699,0.062942,129600
1962-01-22,0.000000,0.212963,0.212384,0.212384,0.062263,172800
1962-01-23,0.000000,0.212963,0.210648,0.210648,0.061754,259200
1962-01-24,0.000000,0.210648,0.209491,0.210069,0.061585,302400
1962-01-25,0.000000,0.210648,0.208912,0.209491,0.061415,129600
1962-01-26,0.000000,0.210648,0.208912,0.208912,0.061245,561600
1962-01-29,0.000000,0.211806,0.209491,0.211806,0.062094,216000
1962-01-30,0.000000,0.214699,0.210648,0.210648,0.061754,734400
1962-01-31,0.000000,0.215278,0.212384,0.215278,0.063112,345600
1962-02-01,0.000000,0.217014,0.214699,0.217014,0.063621,388800
1962-02-02,0.000000,0.228009,0.217593,0.227431,0.066674,2160000
1962-02-05,0.000000,0.240741,0.233796,0.237269,0.069559,1944000
1962-02-06,0.000000,0.248264,0.239583,0.247685,0.072612,2289600
1962-02-07,0.000000,0.259259,0.250000,0.250000,0.073291,3369600
1962-02-08,0.000000,0.253472,0.245949,0.247106,0.072442,1382400
1962-02-09,0.000000,0.247106,0.241898,0.246528,0.072273,777600
1962-02-12,0.000000,0.244213,0.243056,0.244213,0.071594,216000
1962-02-13,0.000000,0.244213,0.241319,0.241898,0.071084,734400
1962-02-14,0.000000,0.240741,0.233796,0.234954,0.069044,1080000
1962-02-15,0.000000,0.234954,0.232639,0.234954,0.069044,302400
1962-02-16,0.000000,0.234954,0.233218,0.233796,0.068703,172800
1962-02-19,0.000000,0.232060,0.232060,0.232060,0.068193,43200
1962-02-20,0.000000,0.229745,0.228009,0.228009,0.067003,86400
1962-02-21,0.000000,0.229167,0.222222,0.222222,0.065302,604800
1962-02-23,0.000000,0.221065,0.219907,0.219907,0.064622,432000
1962-02-26,0.000000,0.224537,0.221065,0.224537,0.065982,259200
1962-02-27,0.000000,0.227431,0.223380,0.227431,0.066833,302400
1962-02-28,0.000000,0.230324,0.224537,0.224537,0.065982,475200
1962-03-01,0.000000,0.226852,0.224537,0.225116,0.066153,259200
1962-03-02,0.000000,0.223958,0.223380,0.223958,0.065812,345600
1962-03-05,0.000000,0.225694,0.224537,0.224537,0.065982,216000
1962-03-06,0.000000,0.227431,0.226273,0.227431,0.066833,86400
1962-03-07,0.000000,0.229167,0.226852,0.228009,0.067003,475200
1962-03-08,0.000000,0.230324,0.229167,0.229167,0.067343,172800
1962-03-09,0.000000,0.228009,0.228009,0.228009,0.067003,43200
1962-03-12,0.000000,0.230903,0.229745,0.230324,0.067683,129600
1962-03-13,0.000000,0.237847,0.231481,0.237847,0.069894,345600
1962-03-14,0.000000,0.244213,0.240741,0.241898,0.071084,864000
1962-03-15,0.000000,0.244792,0.240741,0.243634,0.071594,518400
1962-03-16,0.000000,0.243056,0.237847,0.237847,0.069894,345600
1962-03-19,0.000000,0.238426,0.237269,0.237269,0.069724,86400
1962-03-20,0.000000,0.238426,0.236111,0.237269,0.069724,388800
1962-03-21,0.000000,0.237269,0.236111,0.236111,0.069384,86400
1962-03-22,0.000000,0.235532,0.235532,0.235532,0.069213,129600
1962-03-23,0.000000,0.236111,0.233218,0.233218,0.068533,259200
1962-03-26,0.000000,0.233796,0.230903,0.233796,0.068703,259200
1962-03-27,0.000000,0.232060,0.230324,0.230324,0.067683,86400
1962-03-28,0.000000,0.229167,0.229167,0.229167,0.067343,43200
1962-03-29,0.000000,0.229167,0.229167,0.229167,0.067343,43200
1962-03-30,0.000000,0.230324,0.223958,0.223958,0.065812,432000
1962-04-02,0.000000,0.222801,0.222801,0.222801,0.065472,43200
1962-04-03,0.000000,0.223958,0.222222,0.223958,0.065812,86400
1962-04-04,0.000000,0.223380,0.223380,0.223380,0.065642,172800
